"id","region","is_global","type","common_name","scientific_name","cites","cites_other","extant_countries","status","warnings","habitat","basic_id_cues","consumer_advice","enforcement_advice","similar_animals","known_as","average_size_weight","first_responder","traded_as","common_trafficking","notes","keywords_tags","reference","disease_name","disease_risk_level","created_by","created_date","updated_by","updated_date"
"55","2","1","Mammal","Tiger Species","Panthera tigris","Appendix I","","Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Vietnam,China,India","CR","Dangerous,Nocturnal","Tropical mangrove swamps, rain forests, wet evergreen, the semi-evergreen, deciduous forest, thorn forests, open grassland, savanna, taiga forests, rocky habitats, secluded den locations as caves, large hollow trees, dense vegetation, sufficient cover nea","A large orange-furred big cat with distinctive black stripes and a long tail. Many animals in trade are captive raised hybrids of multiple subspecies.","DO NOT BUY tigers, their parts or derivative products. International trade or transport of tigers, their parts and derived products is illegal. Most countries also strictly regulate tiger trade and ownership. Tigers are dangerous, costly and difficult to keep. They do not make appropriate pets. Tiger derived medicines have no proven medicinal benefits. Disreputable tiger tourism operators have been linked to the trafficking, abuse and killing of tigers. Do not support operators that fail to be transparent about the source of their animals. Several thousand tigers are all that remain in the wild across the world. Report trade to trusted authorities.","INVESTIGATE. No legal international trade in tigers, their meat or parts is permitted. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Most countries require tiger owners to hold a permit. Unscrupulous zoo, tour or breeding operations can be used in attempts to cover up illegal tiger trade. Examine each case for further investigative leads. Report. ","Tiger skin, Tiger derived medicines, Tiger penis","Sua (Thailand)","(adult) Length ~3m (head to tail tip) Weight: 100-250kg
Females are smaller","Avoid handling unnecessarily and wear gloves.Request expert veterinary assistance. Animal should be under mild sedative for safety, contain and do not approach until veterinarians or expert handlers arrive.Tiger cubs (until 10 months) need to be fed milk every 3 to 4 hours; meat is slowly introduced.","Live as cubs for the pet trade. Parts including meat, bones and penis for food trade and traditional medicines. Teeth and claws as jewelry, sometimes carved.","Sedated cubs transported in suitcases by air and car. Whole or butchered tigers/parts transported by car, truck and boat, often frozen.","Eight tiger subspecies remain endangered or critically endangered in the wild: Amur (Siberian) Tiger - Panthera tigris altaica, Bengal Tiger - Panthera tigris tigris, Indochinese Tiger - Panthera tigris corbetti, Malayan Tiger - Panthera tigris jacksoni, South-China Tiger - Panthera tigris amoyensis, Sumatran Tiger - Panthera tigris sumatrae Many animals in trade are captive raised hybrids of multiple subspecies.","animal,fur,4legs,orange,large,tail,black,white,brown,","","Campylobacter, Cat Scratch disease, Cryptosporidiosis, Hook worm, Leptospirosis, Yersinia pestis (Plague), Q fever, Rabies, Ringworm infection, Roundworm, Salmonella, tapeworms, Toxoplasmosis","Low","1","2013-06-17 19:58:44","1","2015-10-03 16:50:20"
"61","4","0","Mammal","Fishing Cat","Prionailurus viverrinus","Appendix II","","India, Nepal, Bangladesh, Pakistan, SriLanka","EN","Nocturnal","Areas of wetland such as swamps, marshy areas, tidal creeks, and mangrove areas . ","A moderately small feline with a olive-grey pelt that also has black stripes running down from the top of the neck. The fishing cat has a stocky, long body with somewhat short legs, a short tail, and a broad head. This animal is a strong swimmer and preys upon fish. ","DO NOT BUY. Fishing cats are considered an endangered species due to habitat loss, habitat degradation, and hunting for food, medicine, and fur. ","INVESTIGATE. The international trade of Fishing Cats is highly regulated and requires a CITES permit. Examine all documentation and report.","Rusty-spotted cat, flat-headed cat, and leopard cat","","Length ~ 65-85 cm   Weight  ~ 6-12 kgs","Avoid handling animal unnecessarily. Request expert veterinary assistance. Biting and scratch risk. Caution should always be used to avoid injury. Animal should be under mild sedative for safety. Contain and do not approach until veterinarians or expert handlers arrive.","Live animal, medicine, fur, meat, and trophies. ","Smuggled in closed boxes hidden in vehicles. Often transported by car, but shipments could also pass over sea or air.","","animal,fur,olive,gray,small,tail,black,brown","","Campylobacter, Cat Scratch disease, Cryptosporidiosis, Hook worm, Leptospirosis, Yersinia pestis (Plague), Q fever, Rabies, Ringworm infection, Roundworm, Salmonella, tapeworms, Toxoplasmosis","High","1","2013-06-19 19:41:02","4","2016-03-29 03:24:37"
"64","4","0","Mammal","Binturong ","Arctictis binturong","Appendix III","","Bangladesh, Bhutan, Brunei, China, India, Nepal","VU","Nocturnal","Confined to tall forests, forested plains and hills, foothills and shady hills, reserved forests, ground altitude of 60 m, in valleys at altitudes 220–280 m, other elevations of 580-1,190 m, evergreen forest, secondary forest (palm estate)","Long coarse black fur with some white or red hairs, lighter fur found mostly on head, making head lighter than the body, round ears with white edge and long tufts of hair at ends. They have a long prehensile tail with thick hair at the base.","DO NOT BUY Binturongs, their parts or derivative products. International trade or transport of Binturongs, their parts and derived products is illegal. Most countries also strictly regulate Binturong trade and ownership. Binturong derived medicines have no proven medicinal benefits. Disreputable Binturong tourism operators have been linked to the trafficking, abuse, and killing of Binturongs. Do not support operators that fail to be transparent about the source of their animals. Report trade to trusted authorities.","INVESTIGATE. International trade in Binturongs is regulated as per CITES Appendix III (listed in India). Many other national protection laws exist throughout its range. Examine all permits carefully. Report to authorities.","","Bearcat, Palawan Binturong.","Length ~175cm (head to tail tip) Weight ~10kg","Avoid handling animal unnecessarily. Request expert veterinary assistance. Animal should be mildly sedated for safety. Contain and do not approach until veterinarians or expert handlers arrive. ","Pelts/skins and as live animal as for the pet trade. In some area Binturongs are also harvested for meat.","Often smuggled as juveniles hidden in bags or in vehicles. Also smuggled with fake permits purporting to allow trade.","","animal,fur,4legs,black,small,tail,white,red,brown,grey","","Tularemia, Rabies, Tuberculosis, Leptospirosis.","Medium","1","2013-06-19 20:55:05","4","2016-03-28 05:45:20"
"75","4","0","Reptile","Jagged-shelled Turtle","Cuora mouhotii","Appendix II","","China, India","EN","","Terrestrial area with lots of ground litter, only slightly aquatic.","A small freshwater turtle with 3 distinct keels (ridges) on the shell (carapace) and very jagged rear of shell. Colors range from light brown to dark brown. The head and limbs range in color from yellowish to reddish to brownish.","DO NOT BUY jagged-shelled turtles. This species is considered endangered and its trade is regulated.","INVESTIGATE.For this species, all international trade in live animals, or body parts is heavily regulated. Examine documentation carefully. Examine each case for further investigative leads and report.","Pans Box turle, Chinese Three-striped Box Turtle, South Asian Box Turtle","Keel-backed Terrapin, Keeled Box Turtle","Length ~21cm (carapace)","Avoid handling animal unnecessarily. Handle with extreme care: egg yolks are easily broken in the female’s body during rough handling or transport. Egg-carrying females are characterized by a higher carapace, or upper shell. Specimens in trade can have their shells broken and be internally wounded. These are very difficult to save and require expert veterinary assessment, which may call for specialized care.During handling and shipment, they maybe deliberately fasted to avoid production of faeces in the container and will not survive long without any food so it is essential these animals are placed in specialized veterinary care immediately. Ensure ventilation, but do not remove until a better holding environment can be found. Suspected captive bred or non-native specimens should not be released into the wild.","Pet trade, meat and traditional Chinese medicine.","Shipped by truck, boat and air freight. Specimens are often transported in plastic sacks. Specimens can be transported live or their eggs. Often concealed on persons or in luggage. Counterfeit documents purporting the legal shipment are common.","","animal,shell,4legs,brown,yellow,tiny,tail,orange","","Bacterial infections: Salmonellosis, Aeromonasis, Campylobacteriosis, Pseudomonas, Mycobacterium spp.","Low","1","2013-06-19 23:57:38","4","2016-03-29 04:03:03"
"81","4","0","Bird","Red and Blue Lory","Eos histrio","Appendix I","","","EN","Nocturnal","Mangroves, forests, coconut grovee, plantations.","Bright red and blue colored medium sized bird, with short, downward pointing beak. The blue wraps around the breast and the back in a band. Blue is also seen in stripes from the beak, to the eyes and down to the blue band.","DO NOT BUY the Red and Blue and other endangered Lorikeets. Trapping for the pet trade on top of shrinking habitats is pushing the Red and Blue Lorikeet towards extinction. It is illegal to trade or transport these birds or their eggs internationally. Report trade to trusted authorities.","INVESTIGATE. No legal international trade in Red and Blue Lorikeets or their eggs is permitted. Any papers purporting to allow such trade are false or unlawful. Seek expert identification assistance for cases involving Lorikeets. Examine each case for further investigative leads.","Red Lorikeet, Blue-eared Lory, Violet-necked Lory, Black-winged Lory, Blue-streaked Lory","Nuri Sangir (Red & Blue Lory, Indonesia), Lori de Sangir (Spanish), Red and Blue Lorikeet","(adult) Length 24-30cm (head to tail tip) Weight: 150-220g ","Avoid handling animal unnecessarily. Always wear gloves and a mask when handling birds. Lorikeets don’t always get along with other birds in captivity; they can become very aggressive if they think their territory or perceived possessions are threatened. Lorikeets can be kept in a cage covered by a cloth. Keep away from dogs. Do not give alcohol, avocado, chocolate, asparagus, eggplant, cabbage, caffeine products, junk food, milk and cream, raw potato, or rhubarb (including the leaves).
","Harvested extensively for the pet trade.","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets or pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders or pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,2legs,red,blue,small,wings,black,yellow,tail,beak","","Psittacosis, Salmonella, Campylobacter, Newcastle Disease, Avian TB, Allergic Alveolitis, West Nile Virus, Avian Influenza, Mycobacterium, Aspergillus Fumigatus.","Medium","1","2013-06-23 21:09:34","4","2016-03-29 04:41:46"
"87","4","0","Mammal","Sun Bear","Helarctos malayanus","Appendix I","","Bangladesh, Brunei, China, India","VU","Dangerous,Nocturnal","Larger areas of native forest, tropical rainforest and tropical dry forest. ","The smallest species of bear, with very short hair and short ears.  They have a distinctive marking on their chest, which varies greatly among individuals, from an orange, yellow, or white ""sun"", to a U-shape, or an amorphous blotch sprinkled with black speckles.  They have bowed-in front feet, long front claws, and hairless soles on their feet.  Their tongue and canine teeth are especially long.","DO NOT BUY Sun Bears, their parts or derivative products. International trade or transport of Sun Bear, their parts and derived products is illegal. Most countries also strictly regulate Sun Bear trade and ownership. Disreputable Sun Bear tourism operators and bear farming have been linked to the trafficking, abuse and killing of Sun Bears. Do not support operators that fail to be transparent about the source of their animals. Report trade to trusted authorities.","INVESTIGATE. No legal international trade of Sun Bears, their parts and products is permitted. Any papers purporting to allow such trade are false or unlawful. National protections may also apply. Examine each case for further investigative leads.    ","Asiantic Black Bear, American Black Bear","Malayan Sun Bear","Length ~100-150 cm (head to tail tip) Shoulder height~70cm Weight ~30-80 kg","Avoid handling unnecessarily. Beware as the animal is highly dangerous. Request expert veterinary assistance. Animal should be under sedative for safety, contain and do not approach until veterinarians or expert handlers arrive. Take a sample of the seizure (including deceased articles) before following your agency's protocol.","Live animals as pets, stuffed animals and skin as trophies, meat for food, claws, and teeth, paws rendered for oil, bear gall bladders and bile products used in traditional medicines. ","Commonly smuggled in covered cages under heavy sedation. This species can also be trafficked under the guise of captive breeding when in fact the animal has been poached.","","animal,fur,4legs,black,large,claws,brown,","IUCN redlist; Garshelis, D. L.  2009. Family Ursidae (bears). Pages 448–497 in D.E. Wilson, and R.A. Mittermeier, editors. Handbook of the mammals of the world, vol 1, Carnivores. Lynx Edicions, Barcelona, Spain.","Trichinella, Vitamin A toxicity (when ingesting liver, bile or undercooked meat).","Low","1","2013-06-24 02:49:33","4","2016-03-29 06:07:33"
"90","4","0","Mammal","Indian Pangolin","Manis crassicaudata","Appendix II","","Bangladesh, India, Pakistan, Sri Lanka","NT","Nocturnal","Forest and forest edges/shrubs throughout its range.","An anteater with a small conical head. Pangolins are covered from head to toe with many rows of scales. The Indian pangolin's scales vary in color based on the environment surrounding it. The skin is usually grey. The scales which cover the body are movable. The snout is long and narrow and the eyes are very small. The tail on the Indian pangolin is very thick.","DO NOT BUY pangolins or any derivative products. Trade in pangolins is highly unsustainable. Pangolin consumption has no proven medicinal benefit. It is illegal to transport pangolins or their parts internationally. Report trade to trusted authorities.","INVESTIGATE. The international trade of Indian Pangolins is highly regulated and requires a CITES permit. Examine all documentation and report to authorities. ","Palawan/Philippine Pangolin, Chinese Pangolin, Indian Pangolin, Pangolin scales, Pangolin derived medicines ","Thick-tailed Pangolin","Length ~120cm (head to tail tip) Weight ~10kg","Many illegally obtained pangolins are transported in mesh bags or rice sacks or nets. It is advisable not to remove the pangolin from these. Sacks/nets can be lightly sprinkled with water to help the animals remain cool. Never transport in plastic or other non-ventilated bags. Juveniles separated from mother need warmth and immediate veterinary care. Keep away from noise and potential predators (especially dogs). Pangolins should be released as soon as possible but only in their native range and ideally in a protected area. They should not be kept more than 24 hours unless large quantities of ants or termites can be provided. Never try to unroll a curled pangolin by force.","Commonly as live animals. Also as meat, fetuses, dried fetuses, leather, scales, and ground powder medicine. Processed products can be difficult to identify and prove to be derived from the species.","Live – Transported in sacks / nets by boat and land vehicle (car and truck). Often hidden under or behind legal cargo. Frozen – by container in a ship. Can be labeled as other frozen products. Scales – in sacks / containers. ","","animal,4legs,bronze,small,medium,tail,gray,brown,orange,scales","","Research needed.","Medium","1","2013-06-24 03:16:44","4","2016-03-29 03:58:37"
"91","2","1","Mammal","Sunda pangolin","Manis javanica","Appendix II","","Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Thailand,Vietnam,Brunei","CR","Nocturnal","Forest and forest edges/shrubs throughout its range.","An anteater with a small conical head. Pangolins are covered from head to toe with many rows of scales. The Malayan Pangolin's scales are brown and the underbelly is whitish. The skin is usually grey. The scales which cover the body are movable. The snout is long and narrow and the eyes are very small. The tail is long and narrow.","DO NOT BUY Pangolins or any derivative products. Trade in Pangolins is highly unsustainable. Pangolin consumption has no proven medicinal benefit. It is illegal to transport Pangolins or their parts internationally. Report trade to trusted authorities.","INVESTIGATE. The international trade in Malayan pangolins is highly regulated and requires a CITES permit. Examine all documentation and report.","Palawan/Philippine Pangolin, Chinese Pangolin, Indian Pangolin, Pangolin scales , Pangolin derived medicines [link]","Malayan Pangolin","Length ~80cm (head to tail tip) Weight ~2.0kg","Many illegally obtained Pangolins are transported in mesh bags or rice sacks or nets. It is advisable not to remove the pangolin from these.Sacks/nets can be lightly sprinkled with water to help the animals remain cool.Never transport in plastic or other non-ventilated bags. Juveniles separated from mother need warmth and immediate veterinary care. Keep away from noise and potential predators (especially dogs). Pangolins should be released as soon as possible but only in their native range and ideally in a protected area. They should not be kept more than 24hrs, unless large quantities of ants or termites can be provided. Never try to unroll a curled pangolin by force.","Commonly as live animals. Also as meat, fetuses, dried fetuses, leather, scales, ground powder medicine. Processed products can be difficult to identify and prove to be derived from the species.","Live – Transported in sacks / nets by boat and land vehicle (car and truck). Often hidden under or behind legal cargo. Frozen – by container ship. Can be labeled as other frozen products. Scales – in sacks / containers. ","","animal,scales,4legs,bonze,small,tail,brown,gray,black,yellow,orange","","Research needed.","Medium","1","2013-06-25 00:22:10","1","2015-11-17 11:01:17"
"93","4","0","Mammal","Chinese Pangolin","Manis pentadactyla","Appendix II","","Bangladesh, Bhutan, China, HongKong, India, Nepal, Taiwan","CR","Nocturnal","Forest and forest edges or shrubs throughout its range","An anteater with a small conical head. Pangolins are covered from head to toe with many rows of scales. The Chinese Pangolin is bronze in color with a round body, overlapping scales with hair, small eyes, narrow mouth, pointed head, plump nose, nostrils at nose tip and long sharp claws.","DO NOT BUY Pangolins or any derivative products. Trade in Pangolins is highly unsustainable. Pangolin consumption has no proven medicinal benefit. It is illegal to transport Pangolins or their parts internationally. Report trade to trusted authorities.","INVESTIGATE. The international trade in Chinese Pangolins is highly regulated and requires a CITES permit. Examine all documentation and report.","Palawan or Philippine Pangolin, Chinese Pangolin, Indian Pangolin, Pangolin scales, Pangolin derived medicines","","Length ~130cm (head to tail tip) Weight ~2.5kg","Many illegally obtained Pangolins are transported in mesh bags or rice sacks or nets. It is advisable not to remove the pangolin from these. Sacks or nets can be lightly sprinkled with water to help the animals remain cool. Never transport in plastic or other non-ventilated bags. Juveniles separated from mother need warmth and immediate veterinary care. Keep away from noise and potential predators (especially dogs). Pangolins should be released as soon as possible but only in their native range and ideally in a protected area. They should not be kept more than 24 hours, unless large quantities of ants or termites can be provided. Never try to unroll a curled Pangolin by force.","Commonly as live animals. Also as meat, fetuses, dried fetuses, leather, scales, ground powder medicine. Processed products can be difficult to identify and prove to be derived from the species.","Live - Transported in sacks or nets by boat and land vehicle (car and truck). Often hidden under or behind legal cargo. Frozen - by container ship. Can be labelled as other (legal) frozen products. Scales are often transported in sacks or containers. ","","animal,4legs,bronze,small,medium,tail,light-brown,scales,brown,black","","","Medium","1","2013-06-25 00:42:43","4","2016-03-28 08:57:13"
"97","4","0","Reptile","King Cobra","Ophiophagus hannah","Appendix II","","Bangladesh, China, India","VU","Dangerous,Poisonous","Mangroves, agricultural areas, bamboo thickets and forests, usually near streams.","The longest of all venomous snakes. The head is flattened and broad. The neck features a distinct hood which can be enlarged when the snake feels threatened. Easily distinguishable by it size. Colors range from brown to black sometimes with yellow bands. The underbelly is usually cream to yellow in color.","DO NOT BUY King Cobras. The international trade is regulated and the animal is extremely dangerous.","INVESTIGATE. For this species all international trade is heavily regulated. National laws in certain countries exist. Ensure all documentation is genuine. Examine each case for further investigative leads. Report.","","","Length ~2.5-5.5m Weight ~kg","Avoid handling animal unnecessarily. Advise caution, as the animal is highly dangerous. Request expert veterinary assistance. Contain and do not approach until veterinarians or expert handlers arrive.
","Harvested for its skin, meat and bile for use in traditional Chinese medicine. The snake is also caught for use in zoos and shows.","Often transported in sacks. Endangered snakes are often disguised as more common species. Also transported as juveniles and eggs.","","animal,scales,0legs,brown,black,large,tail,yellow,orange","","Bacterial infections: Salmonellosis, Aeromonas, Edwardsiella, campylobacter, pseudomonas, Mycobacterium ulcerans, E. coli","Low","1","2013-06-25 01:44:02","4","2016-03-29 04:05:50"
"98","4","0","Mammal","Chiru","Pantholops hodgsonii ","Appendix I","","China, India, Nepal","EN","Nocturnal","Open alpine, cold steppe environments, higher elevations, flat open terrain with sparse vegetation cover. ","The coat varies from pale tan to reddish-brown in colour, with creamy white underparts, and dark brown to black face and front legs. In the mating season, males become very pale, almost white, contrasting with the black face and legs. The black horns are long and slender, curving slightly forward at the tips. The underfur is very soft and luxuriant. ","DO NOT BUY Tibetan Antelope, their parts or derivative products. International trade or transport of Tibetan Antelope, their parts and derived products is illegal. Most countries also strictly regulate Tibetan Antelope trade and ownership. Tibetan Antelope are dangerous, costly and difficult to keep. They do not make appropriate pets. Tibetan Antelope derived medicines have no proven medicinal benefits. Disreputable Tibetan Antelope tourism operators have been linked to the trafficking, abuse and killing of Tibetan Antelope. Do not support operators that fail to be transparent about the source of their animals. Report trade to trusted authorities.","INVESTIGATE. International trade in Tibetan Antelope,  their meat or parts is prohibited. Illegal trade in Tibetan Antelope is widespread. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Most countries require owners to hold a permit. Breeding operations can be used in attempts to cover up illegal Tibetan Antelope trade. Examine each case for further investigative leads.","Antelope Horns, Shahtoosh, Tibetan gazelle.","Tibetan Antelope, Zang Lingyang (Chinese), Gtsod (Tibetan)","Length ~ 135cm (body length) Weight ~40kg, Horn length 15-25 cm Shoulder Height ~85cm ","Avoid handling animal unnecessarily. Request expert veterinary assistance. Animal should be under mild sedative for safety, contain and do not approach until veterinarians or expert handlers arrive. Keep away from dogs and cattle.","Skins and underfur/hair made into Shahtoosh shawls, horns and skulls sold as trophies and decorations. ","","","animal,fur,4legs,brown,medium,horns,white,black,orange,","[http://www.ultimateungulate.com/Artiodactyla/Pantholops_hodgsonii.html]
","Anthrax, Brucella, Campylobacteriosis, Pox virus, Rotavirus, Leptospirosis, Listeria, Pseudomonas, Q-fever, Sarcoptic mange, Tuberculosis, Salmonella, Giardia","Medium","1","2013-06-25 03:03:43","4","2016-03-29 03:09:48"
